id,order_id,product_id,quantity,total_price
0,7019,28,1,186
1,8827,29,1,110
2,3863,38,1,385
3,5002,37,1,493
4,6337,28,1,186
5,915,18,1,20
6,6664,24,1,2663
7,6917,44,2,164
8,872,23,1,2795
9,8532,6,1,15
10,8945,44,1,82
11,5086,34,2,286
12,9358,22,2,2304
13,5086,45,3,108
14,4252,19,1,23
15,9316,16,1,42
16,3273,36,1,377
17,9561,35,2,1204
18,8970,26,1,53
19,6975,40,1,128
20,9531,33,2,222
21,1567,9,1,11
22,5345,4,1,57
23,4270,15,2,92
24,4369,46,1,16
25,9174,48,2,110
26,7870,26,1,53
27,2128,10,2,3904
28,395,35,5,3010
29,5849,14,4,7096
30,1260,36,1,377
31,3344,2,5,375
32,2191,13,2,3652
33,6465,7,3,30
34,6236,29,1,110
35,3610,9,1,11
36,5001,49,1,39
37,1874,13,1,1826
38,6345,3,2,140
39,4214,10,1,1952
40,7846,14,1,1774
41,2311,25,1,144
42,9210,34,4,572
43,439,20,1,1720
44,6663,39,1,580
45,3815,18,4,80
46,4954,17,2,90
47,129,46,1,16
48,5509,27,2,272
49,9637,23,1,2795
50,4245,15,3,138
51,2410,24,1,2663
52,5514,32,4,656
53,3449,25,1,144
54,2216,28,1,186
55,7333,42,2,194
56,8248,23,1,2795
57,4128,30,1,110
58,5353,43,2,206
59,4461,19,1,23
60,5834,10,1,1952
61,6893,18,1,20
62,1880,45,3,108
63,9867,43,1,103
64,3770,40,1,128
65,1381,16,1,42
66,453,38,1,385
67,2583,38,5,1925
68,4922,15,2,92
69,9602,20,1,1720
70,757,39,3,1740
71,5970,42,2,194
72,3638,38,2,770
73,1492,40,1,128
74,4900,29,2,220
75,3460,0,2,192
76,2485,33,3,333
77,3461,7,1,10
78,146,45,1,36
79,8707,28,1,186
80,4989,18,3,60
81,7838,12,1,1992
82,7616,45,1,36
83,1387,5,1,29
84,8746,31,1,170
85,9236,16,3,126
86,7394,20,1,1720
87,7408,30,2,220
88,2285,33,4,444
89,757,31,1,170
90,6460,12,1,1992
91,8949,43,1,103
92,1641,38,2,770
93,9060,32,2,328
94,1429,8,1,15
95,9240,23,1,2795
96,2867,29,3,330
97,3421,47,1,32
98,6761,47,1,32
99,6276,40,1,128
100,622,39,4,2320
101,7972,38,5,1925
102,270,38,4,1540
103,6528,36,1,377
104,9019,20,1,1720
105,367,27,5,680
106,2539,15,1,46
107,269,0,1,96
108,2905,27,1,136
109,2368,42,1,97
110,8204,14,1,1774
111,2155,35,3,1806
112,5258,7,1,10
113,758,20,1,1720
114,8150,21,1,2007
115,6914,8,1,15
116,3910,41,4,244
117,2385,45,1,36
118,2429,7,5,50
119,3298,14,2,3548
120,9669,41,2,122
121,1440,18,4,80
122,3640,42,2,194
123,3757,18,1,20
124,1998,49,1,39
125,520,35,1,602
126,6107,32,1,164
127,9705,34,1,143
128,806,28,3,558
129,8976,40,1,128
130,6756,19,5,115
131,4286,25,1,144
132,5603,17,1,45
133,1067,24,4,10652
134,5167,31,3,510
135,1603,11,1,1373
136,4355,25,1,144
137,4364,14,2,3548
138,8241,35,2,1204
139,7122,26,1,53
140,7831,42,4,388
141,2650,47,3,96
142,5986,15,1,46
143,1233,16,2,84
144,3244,39,1,580
145,425,45,2,72
146,2321,10,1,1952
147,4820,28,1,186
148,3006,8,1,15
149,8301,11,2,2746
150,9564,3,1,70
151,6846,31,1,170
152,3237,3,1,70
153,9798,44,4,328
154,6118,8,1,15
155,3348,21,2,4014
156,512,48,3,165
157,1923,0,3,288
158,5325,18,1,20
159,6029,29,3,330
160,1497,24,5,13315
161,399,9,1,11
162,7158,0,1,96
163,3325,26,1,53
164,5725,33,1,111
165,481,32,1,164
166,391,39,4,2320
167,8752,37,1,493
168,614,10,4,7808
169,1703,24,1,2663
170,9162,36,1,377
171,7406,28,1,186
172,5951,25,1,144
173,1142,20,1,1720
174,3043,1,1,21
175,9893,13,1,1826
176,6892,39,1,580
177,7187,39,2,1160
178,7792,6,3,45
179,2742,46,4,64
180,7116,35,1,602
181,9497,5,1,29
182,8595,5,4,116
183,3764,21,2,4014
184,5148,8,4,60
185,2564,46,3,48
186,5501,34,3,429
187,9153,11,3,4119
188,8800,2,1,75
189,7977,1,2,42
190,6832,1,3,63
191,178,34,2,286
192,9876,25,1,144
193,1451,8,3,45
194,3534,23,1,2795
195,3283,2,1,75
196,2667,1,1,21
197,3224,12,1,1992
198,1967,27,1,136
199,8431,4,5,285
200,9662,21,1,2007
201,1364,25,2,288
202,4912,47,1,32
203,1410,38,1,385
204,5262,44,1,82
205,1150,36,1,377
206,9074,19,1,23
207,4031,43,1,103
208,5230,30,1,110
209,9440,45,1,36
210,2289,49,4,156
211,8256,41,4,244
212,7509,16,1,42
213,6906,31,1,170
214,4140,6,1,15
215,2740,25,1,144
216,2479,39,1,580
217,2736,23,2,5590
218,164,15,1,46
219,6126,42,1,97
220,6435,49,3,117
221,7349,29,1,110
222,2884,33,3,333
223,737,22,1,1152
224,5825,0,1,96
225,6857,22,1,1152
226,856,41,3,183
227,3095,25,1,144
228,216,20,1,1720
229,4867,27,1,136
230,5058,34,1,143
231,9457,11,1,1373
232,3997,44,2,164
233,5610,19,5,115
234,1611,19,1,23
235,5687,13,1,1826
236,7239,36,1,377
237,3755,38,4,1540
238,61,6,1,15
239,9124,8,3,45
240,9096,36,1,377
241,1511,8,1,15
242,4141,33,2,222
243,3001,47,1,32
244,7587,43,1,103
245,8863,0,4,384
246,2279,39,4,2320
247,5714,20,2,3440
248,9140,3,1,70
249,386,4,1,57
250,7109,14,1,1774
251,1197,16,3,126
252,2719,10,1,1952
253,2302,13,2,3652
254,5949,27,2,272
255,3313,24,1,2663
256,8367,11,1,1373
257,6106,27,3,408
258,2896,13,5,9130
259,9456,23,3,8385
260,1204,3,1,70
261,4560,21,1,2007
262,5113,26,1,53
263,2474,8,2,30
264,4815,18,1,20
265,1303,17,1,45
266,3198,38,1,385
267,8028,5,1,29
268,7399,7,5,50
269,1554,34,1,143
270,8258,26,3,159
271,4814,24,1,2663
272,8047,25,1,144
273,9207,47,1,32
274,6024,0,1,96
275,4606,45,1,36
276,4528,20,4,6880
277,2004,28,1,186
278,1886,48,1,55
279,2567,45,1,36
280,6984,18,1,20
281,3866,19,1,23
282,8707,2,1,75
283,5489,25,3,432
284,3737,10,1,1952
285,8436,29,2,220
286,1309,21,1,2007
287,9200,46,3,48
288,3924,44,1,82
289,4794,35,1,602
290,122,40,3,384
291,4807,2,2,150
292,8419,32,2,328
293,2609,48,2,110
294,7356,11,2,2746
295,6116,31,1,170
296,6482,20,1,1720
297,5046,46,5,80
298,8800,40,1,128
299,2012,36,1,377
300,655,20,5,8600
301,5655,48,5,275
302,9476,38,3,1155
